"payment_month","user_id","language","age","game_name","total_revenue","new_mrr","back_from_churn_revenue","churned_revenue","expansion_revenue","contraction_revenue","churn_month"
2022-03-01,"3iITAz/ADjFv3PDTgTjxSg==",ru,16,game 3,23.76,23.76,,,,,
2022-03-01,"4b7l8C489HEJirtoe7xtFg==",uk,20,game 3,27.15,27.15,,,,,
2022-03-01,"4btLP2zvi8eBV0t08fdkKQ==",ru,20,game 3,17.79,17.79,,,,,
2022-03-01,"72brUr/DKItStlTen5pHYg==",uk,24,game 3,24.15,24.15,,24.15,,,2022-03-01
2022-03-01,"75lEf3nSWLSf6GncqhR9gQ==",ru,22,game 3,14.1,14.1,,,,,
2022-03-01,"787jk0VnxM8/sv/0TkvO6A==",uk,20,game 3,48.45,48.45,,,,,
2022-03-01,"7EPlnA7OQ9MhMx+od6FA9g==",ru,23,game 3,158.67,158.67,,,,,
2022-03-01,"7GE5h/3N3lcro3K9T3aujw==",ru,32,game 3,38.52,38.52,,,,,
2022-03-01,"7SeM1pmnTTTXfhI+x3ldng==",ru,22,game 3,34.74,34.74,,,,,
2022-03-01,"99X4aLWWjAIgmlXjrXQIgg==",ru,22,game 3,16.98,16.98,,16.98,,,2022-03-01
2022-03-01,A1qVjssGQ+ZUWZu3Z5DzTA==,uk,24,game 3,45.27,45.27,,,,,
2022-03-01,AN9at3LlvDamqXq8dvHD4w==,ru,24,game 3,42.03,42.03,,,,,
2022-03-01,b3TBQFxyCxxypmPajF+jXw==,uk,15,game 3,13.98,13.98,,,,,
2022-03-01,B4b6v6eUHvAVOeAQk6EEiw==,ru,23,game 3,15.3,15.3,,,,,
2022-03-01,Bcs3CbYx2EpbL9otxlEUmg==,uk,18,game 3,89.22,89.22,,89.22,,,2022-03-01
2022-03-01,CCwTMcGtpirFFuqzSeTyaQ==,uk,18,game 3,15.84,15.84,,,,,
2022-03-01,Fx9+2aYPOHAS3fdXpLQ9Pg==,ru,35,game 3,12.54,12.54,,12.54,,,2022-03-01
2022-03-01,Ghk2iJmzSUW4qLsmJgwOcw==,uk,16,game 3,17.13,17.13,,,,,
2022-03-01,H44DjZG42orzuBXLai7JkA==,ru,29,game 3,13.32,13.32,,13.32,,,2022-03-01
2022-03-01,HJccOn6v5KHqBa8wRu42oQ==,uk,20,game 3,27.6,27.6,,27.6,,,2022-03-01
2022-03-01,HxWcXHURvvtOJkrXAcDxQg==,uk,15,game 3,66.18,66.18,,,,,
2022-03-01,iFFApiXZ2wPdS666BLpKZw==,uk,18,game 3,26.85,26.85,,,,,
2022-03-01,J6WNl39fdxaY8ZtvV8wNkw==,uk,18,game 3,16.14,16.14,,,,,
2022-03-01,Jp0hnV9XOJGVV5jpFhlqgQ==,uk,25,game 3,122.64,122.64,,,,,
2022-03-01,jVhb69DTRT5TSWYEiUrlbg==,uk,20,game 3,17.46,17.46,,,,,
2022-03-01,l3sFUsG2qpcnrEzwRnjvtQ==,ru,15,game 3,38.10,38.10,,,,,
2022-03-01,NMmQVq8bB84KydONJjvTfQ==,uk,18,game 3,15.33,15.33,,15.33,,,2022-03-01
2022-03-01,o55dseByUOl9s5IQCz1kuQ==,uk,22,game 3,23.16,23.16,,,,,
2022-03-01,prNQwR2IPPsvGpFgOpcGaQ==,uk,14,game 3,15.66,15.66,,15.66,,,2022-03-01
2022-03-01,pz7LUOs9i7xgncmHVxQvOw==,ru,24,game 3,36.51,36.51,,,,,
2022-03-01,s27V1tbCAysovKSY1XcdWQ==,uk,34,game 3,22.95,22.95,,,,,
2022-03-01,SyWxmJ+Ha8K2C9UJt8blVA==,ru,25,game 3,55.62,55.62,,,,,
2022-03-01,T+RA0/fgzbUBLF89D4AEDA==,ru,23,game 3,16.11,16.11,,,,,
2022-03-01,Uen3Ap0lnrgWVWJtFCSo7g==,ru,17,game 3,20.79,20.79,,20.79,,,2022-03-01
2022-03-01,V7J42heW8l19wiBJ8UpRyw==,ru,25,game 3,49.80,49.80,,,,,
2022-03-01,Veep00i4vvZbTAVD6GMoiA==,uk,38,game 3,12.72,12.72,,,,,
2022-03-01,W6fRYNhsTNHQkvkoFEUaVQ==,uk,16,game 3,48.33,48.33,,,,,
2022-03-01,XE2e8BsmBo72HxABlJmsRw==,uk,20,game 3,38.16,38.16,,38.16,,,2022-03-01
2022-03-01,xiXTXOEbWU+HnGOUmgc9/w==,uk,20,game 3,24.18,24.18,,,,,
2022-03-01,Y/nf8iBu/UCaNAuIRRjVwA==,uk,15,game 3,24.27,24.27,,,,,
2022-03-01,ZeMBdi9hmR0vUv+lyZiypQ==,uk,22,game 3,25.41,25.41,,25.41,,,2022-03-01
2022-03-01,ZmjMhgyYl6o8iFq964FEWg==,ru,17,game 3,54.60,54.60,,,,,
2022-03-01,zSepnWFgLH0tQb1s4mxKZQ==,uk,24,game 3,23.01,23.01,,,,,
2022-04-01,"06RPvlsFPCmM9ag+iSM/Ag==",ru,34,game 3,12.03,12.03,,,,,
2022-04-01,"2FYEYdoJMUOtbJ6TruruWA==",ru,20,game 3,56.85,56.85,,,,,
2022-04-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",uk,23,game 3,54.96,54.96,,,,,
2022-04-01,"3iITAz/ADjFv3PDTgTjxSg==",ru,16,game 3,81.42,,,,57.66,,
2022-04-01,"3Whh6FLR1MSfsuHKVdCEYQ==",uk,21,game 3,59.67,59.67,,,,,
2022-04-01,"4b7l8C489HEJirtoe7xtFg==",uk,20,game 3,14.94,,,,,-12.21,
2022-04-01,"4btLP2zvi8eBV0t08fdkKQ==",ru,20,game 3,125.97,,,,108.18,,
2022-04-01,"75lEf3nSWLSf6GncqhR9gQ==",ru,22,game 3,65.97,,,,51.87,,
2022-04-01,"787jk0VnxM8/sv/0TkvO6A==",uk,20,game 3,53.49,,,,5.04,,
2022-04-01,"7EPlnA7OQ9MhMx+od6FA9g==",ru,23,game 3,114.15,,,,,-44.52,
2022-04-01,"7GE5h/3N3lcro3K9T3aujw==",ru,32,game 3,58.20,,,,19.68,,
2022-04-01,"7luG+f1d+Ri4AjeMbFR1Xw==",uk,29,game 3,16.92,16.92,,16.92,,,2022-04-01
2022-04-01,"7SeM1pmnTTTXfhI+x3ldng==",ru,22,game 3,105.96,,,,71.22,,
2022-04-01,"7zbxKst2yi3pfdVI8iEChw==",ru,15,game 3,23.31,23.31,,23.31,,,2022-04-01
2022-04-01,A1qVjssGQ+ZUWZu3Z5DzTA==,uk,24,game 3,13.95,,,13.95,,-31.32,2022-04-01
2022-04-01,AN9at3LlvDamqXq8dvHD4w==,ru,24,game 3,64.50,,,,22.47,,
2022-04-01,aQDvOXzsDAJWi3Y47ptRPg==,ru,20,game 3,15.21,15.21,,,,,
2022-04-01,b3TBQFxyCxxypmPajF+jXw==,uk,15,game 3,14.82,,,,0.84,,
2022-04-01,B4b6v6eUHvAVOeAQk6EEiw==,ru,23,game 3,63.60,,,63.60,48.30,,2022-04-01
2022-04-01,BJlqmsfEshc/QjsD7VgEjg==,ru,18,game 3,30.66,30.66,,30.66,,,2022-04-01
2022-04-01,CCwTMcGtpirFFuqzSeTyaQ==,uk,18,game 3,20.76,,,20.76,4.92,,2022-04-01
2022-04-01,Dbff3x5cRk6/tUY3WQdzFQ==,uk,21,game 3,60.57,60.57,,,,,
